simplified	pinyin	pos	classifier	definition	new_hsk	sentence_1	translation_1	sentence_2	translation_2	sentence_3	translation_3
干	gān	verb, adjective		adoptive (e.g. 干儿 adopted son)	L3	他是我的干爸爸。	He is my adoptive father.	她有一个干女儿。	She has an adopted daughter.	我干妈对我很好。	My adoptive mother is very good to me.
干	gān	verb, adjective		dry	L3	今天天气很干，我很渴。	The weather is very dry today; I'm very thirsty.	衣服干了。	The clothes are dry.	衣服干了，可以收了。	The clothes are dry; you can take them in.
干	gàn	verb		to do	L3	你在干什么？	What are you doing?	我们一起干吧。	Let's do it together.	他每天干很多工作。	He does a lot of work every day.
干净	gān jìng	adjective, adverbial adjective		clean	L3	这个房间很干净。	This room is very clean.	请把手洗干净。	Please wash your hands clean.	她把地扫得很干净。	She swept the floor very clean.
干净	gān jìng	adjective, adverbial adjective		neat	L3	他写字写得很干净。	He writes very neatly.	她的书包放得很干净。	Her school bag is organized neatly.	这本书写得很干净。	This book is written very neatly.
刚	gāng	adverb, morpheme		barely	L3	他考试刚过了。	He barely passed the exam.	这件衣服刚合适。	This piece of clothing just barely fits.	他刚能听懂老师说的话。	He can barely understand what the teacher says.
刚	gāng	adverb, morpheme		only a short while ago	L3	我刚到家。	I just got home a short while ago.	他刚吃完饭。	He just finished eating a moment ago.	老师刚走。	The teacher just left a short while ago.
刚才	gāng cái	time word		just now	L3	刚才他打电话给我。	Just now he called me.	你刚才去哪里了？	Where did you go just now?	刚才的事你忘了吗？	Have you forgotten what happened just now?
刚刚	gāng gang	adverb		just now	L3	妈妈刚刚出门。	Mom just went out.	我刚刚看完这本书。	I just finished reading this book.	他刚刚说了什么？	What did he say just now?
刚刚	gāng gang	adverb		just recently	L3	他刚刚开始学中文。	He just recently started learning Chinese.	我们刚刚认识不久。	We just recently got to know each other.	这家店刚刚开门。	This store just recently opened.
高铁	gāo tiě	noun		high speed rail	L3	我们坐高铁去旅游。	We'll take the high speed rail to go traveling.	高铁比飞机快吗？	Is high speed rail faster than a plane?	这里有高铁站吗？	Is there a high speed rail station here?
根据	gēn jù	preposition, noun, verb	个	according to	L3	根据天气，我们不去了。	According to the weather, we won't go.	根据老师说的，要复习。	According to what the teacher said, we need to review.	根据地图，往左走。	According to the map, go left.
根据	gēn jù	preposition, noun, verb	个	basis	L3	你说话要有根据。	You need to have a basis for what you say.	他的话没有根据。	What he said has no basis.	我找到了一个根据。	I found a basis.
更	gèng	adverb		more	L3	今天更冷了。	It's even colder today.	他比我更高。	He is taller than me.	这个更好吃。	This one tastes even better.
更	gēng	verb		to change	L3	他更换了手机。	He replaced his phone.	旧的方法已经更换了。	The old method has already been replaced.	号码更新了，请注意。	The number has been updated; please take note.
工作日	gōng zuò rì	noun		workday	L3	今天是工作日，不能休息。	Today is a workday; I can't rest.	工作日人很多。	There are lots of people on workdays.	工作日我很忙。	I'm very busy on workdays.
公斤	gōng jīn	classifier		kilogram	L3	这个西瓜有五公斤。	This watermelon weighs five kilograms.	我买了一公斤苹果。	I bought one kilogram of apples.	他有六十公斤。	He weighs sixty kilograms.
公园	gōng yuán	noun	个, 座	park (for public recreation)	L3	我们去公园玩吧。	Let's go play in the park.	这个公园很大。	This park is very large.	附近有两个公园。	There are two parks nearby.
刮	guā	verb		to blow	L3	外面刮风了。	The wind is blowing outside.	今天刮大风。	There's a strong wind blowing today.	风刮走了我的伞。	The wind blew away my umbrella.
刮	guā	verb		to scrape	L3	他刮了一下。	He scraped once.	请帮我刮一下这里。	Please help me scrape here.	他把苹果刮了。	He scraped the apple.
刮	guā	verb		to shave	L3	爸爸每天早上刮脸。	Dad shaves his face every morning.	他刮了脸，看起来更年轻。	He shaved his face and looks younger.	你要不要刮脸？	Do you want to shave?
关	guān	verb, noun, proper noun (person)		to close	L3	请关门，外面很冷。	Please close the door; it's cold outside.	商店五点关门。	The store closes at five o'clock.	你关门了吗？	Did you close the door?
关	guān	verb, noun, proper noun (person)		to concern	L3	这件事关你什么？	How does this matter concern you?	这个问题关我们大家。	This issue concerns all of us.	天气关每个人的生活。	The weather concerns everyone's daily life.
关	guān	verb, noun, proper noun (person)		to involve	L3	这件事关很多人。	This matter involves many people.	那件事关好几个人。	That matter involves several people.	这关你的工作。	This involves your work.
关	guān	verb, noun, proper noun (person)		to turn off	L3	请关灯，我要睡觉了。	Please turn off the light; I'm going to sleep.	出门前关电视。	Turn off the TV before going out.	他忘了关空调。	He forgot to turn off the air conditioner.
关机	guān jī	verb		to turn off (a machine)	L3	飞机上要关机。	You need to turn off your phone on the plane.	他的手机关机了。	His phone has been turned off.	睡觉前记得关机。	Remember to turn off the machine before sleeping.
关系	guān xi	noun, verb	个	connection	L3	这两件事有关系。	These two things have a connection.	他们两个没有关系。	There is no connection between the two of them.	这个关系很重要。	This connection is very important.
关系	guān xi	noun, verb	个	relationship	L3	他们两个关系很好。	The two of them have a very good relationship.	我和他的关系不好。	My relationship with him is not good.	你们是什么关系？	What kind of relationship do you two have?
关系	guān xi	noun, verb	个	to affect	L3	天气关系到我们今天的学习。	The weather affects our studies today.	这件事关系到你以后的路。	This matter affects your future path.	吃不好关系到健康。	Eating poorly affects your health.
关心	guān xīn	verb, verbal noun		to care for something	L3	妈妈很关心我。	Mom cares for me very much.	你要关心自己的身体。	You should care for your own health.	他不关心别人。	He doesn't care for others.
关于	guān yú	preposition		about	L3	这本书是关于中国的。	This book is about China.	他写了关于历史的东西。	He wrote something about history.	这本书是关于什么的？	What is this book about?
关于	guān yú	preposition		with regard to	L3	关于这件事，我知道一点。	With regard to this matter, I know a little.	关于学习，老师说了很多。	With regard to studying, the teacher said a lot.	关于这个问题，我们一起说说。	Regarding this question, let's talk about it together.
关注	guān zhù	verb, verbal noun		to pay close attention to	L3	我们要关注这个问题。	We need to pay close attention to this issue.	请关注天气变化。	Please pay close attention to changes in the weather.	老师关注每个学生的学习。	The teacher pays close attention to every student's learning.
国家	guó jiā	noun	个	country	L3	中国是一个大国家。	China is a large country.	你的国家在哪里？	Where is your country?	这个国家很大。	This country is very large.
过节	guò jié	verb, verbal noun		to celebrate a festival	L3	我们和家人一起过节。	We celebrate the holiday together with family.	你怎么过节？	How do you celebrate the festival?	过节要吃好吃的。	When celebrating a festival, you should eat delicious food.
海	hǎi	noun		sea	L3	海很蓝很漂亮。	The sea is very blue and beautiful.	我想去海边玩。	I want to go play by the sea.	我们坐船在海上走。	We traveled on the sea by boat.
害怕	hài pà	verb, verbal noun		to be afraid	L3	我害怕一个人在家。	I'm afraid of being home alone.	他害怕去看病。	He is afraid of going to the doctor.	小孩子害怕去医院。	Small children are afraid of going to the hospital.
行	háng	noun, classifier, morpheme		line	L3	第三行写的是什么？	What is written on the third line?	请看第一行。	Please look at the first line.	这行字太小了。	The characters on this line are too small.
行	xíng	verb, adjective, morpheme		OK	L3	明天去，行吗？	Is it OK to go tomorrow?	行，我去买。	OK, I'll go buy it.	这样做行不行？	Is it OK to do it this way?
行	háng	noun, classifier, morpheme		profession	L3	你是做什么行的？	What profession are you in?	他在这行工作了十年。	He has worked in this profession for ten years.	每行都有自己的方法。	Every profession has its own methods.
行	háng	noun, classifier, morpheme		row	L3	请坐第一行。	Please sit in the first row.	同学们坐了三行。	The students sat in three rows.	第二行有五个人。	There are five people in the second row.
行	háng	noun, classifier, morpheme		trade	L3	他在一家大行工作。	He works at a large trading firm.	这家行很有名。	This trade firm is very well-known.	他开了一家行。	He opened a trade firm.
行李	xíng li	noun	件	luggage	L3	我的行李很多。	I have a lot of luggage.	他只有一件行李。	He only has one piece of luggage.	请把行李放这里。	Please put the luggage here.
好多	hǎo duō	numeral		many	L3	这里有好多人！	There are so many people here!	桌上有好多苹果。	There are many apples on the table.	她有好多朋友。	She has many friends.
好久	hǎo jiǔ	numeral		quite a while	L3	我们好久没见了！	We haven't seen each other for quite a while!	他等了好久。	He waited for quite a while.	这是好久以前的事了。	This is something that happened quite a while ago.
好像	hǎo xiàng	verb		to seem like	L3	他好像病了。	He seems to be sick.	外面好像在下雨。	It seems like it's raining outside.	她好像不高兴。	She seems unhappy.
号码	hào mǎ	noun	个	number	L3	你的电话号码是多少？	What is your phone number?	请告诉我你的房间号码。	Please tell me your room number.	我有好几个号码要记。	I have many numbers to remember.
合适	hé shì	adjective		suitable	L3	这件衣服很合适。	This piece of clothing is very suitable.	这个工作对你合适。	This job is suitable for you.	这个时间合适吗？	Is this time suitable?
河	hé	noun	条, 道	river	L3	我们走过了两条河。	We crossed two rivers.	我们在河边走。	We walk by the river.	那条河里有很多鱼。	There are many fish in that river.
黑板	hēi bǎn	noun	块, 个	blackboard	L3	教室里有一块黑板。	There is one blackboard in the classroom.	请看黑板上的字。	Please look at the characters on the blackboard.	那块黑板很干净。	That blackboard is very clean.
红绿灯	hóng lǜ dēng	noun	个	traffic light	L3	前面有一个红绿灯。	There is a traffic light ahead.	红绿灯是红色的，不能走。	The traffic light is red; you can't go.	看到红绿灯再走。	Walk when you see the traffic light (go green).
后来	hòu lái	time word		afterwards	L3	我们吃完饭，后来去公园。	We finished eating, and afterwards went to the park.	他先哭了，后来笑了。	He cried first, and afterwards laughed.	后来他找到了工作。	Afterwards, he found a job.
后年	hòu nián	time word		the year after next	L3	后年我要去中国。	The year after next, I want to go to China.	她后年要离开学校。	She will leave school the year after next.	后年的事还早。	The year after next is still far away.
后天	hòu tiān	noun, time word		the day after tomorrow	L3	后天是我的生日。	The day after tomorrow is my birthday.	我们后天见面吧。	Let's meet the day after tomorrow.	后天会下雨吗？	Will it rain the day after tomorrow?
护照	hù zhào	noun	本, 个	passport	L3	我的护照在哪儿？	Where is my passport?	出国要带护照。	You need to bring your passport when going abroad.	我有一本护照。	I have one passport.
花园	huā yuán	noun	座, 个	garden	L3	我家有一个花园。	My home has a garden.	花园里有很多花。	There are many flowers in the garden.	孩子们在花园里玩。	The children play in the garden.
画家	huà jiā	noun	个	painter	L3	他是一个画家。	He is a painter.	那个画家很有名。	That painter is very famous.	她想做一个画家。	She wants to become a painter.
欢迎	huān yíng	verb, verbal noun		to welcome	L3	欢迎你来我家！	Welcome to my home!	我们欢迎新同学。	We welcome the new classmate.	老师欢迎大家问问题。	The teacher welcomes everyone to ask questions.
环境	huán jìng	noun	个	environment	L3	我们需要一个好环境。	We need a good environment.	不要坏了环境。	Don't ruin the environment.	学校的环境很安静。	The school environment is very quiet.
换	huàn	verb		to exchange	L3	我们换了书。	We exchanged books.	他们换了钱。	They exchanged money.	可以换一下吗？	Can we make an exchange?
黄色	huáng sè	noun		yellow	L3	这个花是黄色的。	This flower is yellow.	她喜欢黄色的衣服。	She likes yellow clothes.	太阳是黄色的。	The sun is yellow.
回答	huí dá	verb, verbal noun		to answer	L3	她回答得很好。	She answered very well.	你能回答这个问题吗？	Can you answer this question?	他没有回答我。	He did not answer me.
回答	huí dá	verb, verbal noun		to reply	L3	他回答了老师的问题。	He replied to the teacher's question.	请快点回答我。	Please reply to me quickly.	我不知道怎么回答。	I don't know how to reply.
会议	huì yì	noun	场, 届	meeting	L3	今天有一场会议。	There is a meeting today.	会议在几点开始？	What time does the meeting start?	他参加了会议。	He attended the meeting.
或	huò	conjunction, adverb		or	L3	你要茶或咖啡？	Do you want tea or coffee?	他是中国人或外国人。	He is Chinese or foreign.	今天或明天都可以。	Today or tomorrow is fine.
或	huò	conjunction, adverb		perhaps	L3	或许我明天来找你。	Perhaps I'll come find you tomorrow.	他或许不知道这件事。	He perhaps doesn't know about this.	或许有更好的方法。	Perhaps there is a better method.
或者	huò zhě	conjunction, adverb		or	L3	你坐车或者地铁都可以。	You can take the bus or the subway, either is fine.	我们明天或者后天出发。	We'll set off tomorrow or the day after tomorrow.	你喜欢喝茶或者咖啡？	Do you like to drink tea or coffee?
机会	jī huì	noun	个	opportunity	L3	这是一个好机会。	This is a good opportunity.	我没有机会去中国。	I don't have the opportunity to go to China.	有机会的话，我想去中国。	If there's an opportunity, I'd like to go to China.
鸡	jī	noun	只	chicken	L3	我们家有两只鸡。	Our family has two chickens.	这只鸡很大。	This chicken is very big.	她不喜欢吃鸡。	She doesn't like to eat chicken.
极	jí	adverb, morpheme		extremely	L3	这里好极了。	It's extremely good here.	他跑得快极了。	He runs extremely fast.	今天冷极了。	Today is extremely cold.
急	jí	verb, adverbial adjective, adjective		anxious	L3	他很急，等不了。	He is anxious and can't wait.	妈妈等我，很急。	Mom is waiting for me and is anxious.	你为什么这么急？	Why are you so anxious?
急	jí	verb, adverbial adjective, adjective		fast	L3	河水很急。	The river water is very fast.	他走路很急。	He walks very fast.	风很急，很冷。	The wind is very fast and very cold.
急	jí	verb, adverbial adjective, adjective		agitated	L3	他说话时很急。	He is nervous when speaking.	考试前她很急。	She is nervous before the exam.	不要急，慢慢来。	Don't be nervous, take it slowly.
急	jí	verb, adverbial adjective, adjective		pressing	L3	时间很急，快走吧。	Time is pressing, let's go quickly.	这件事很急，不能等。	This matter is pressing and cannot wait.	这个问题很急。	This problem is pressing.
急	jí	verb, adverbial adjective, adjective		rapid	L3	雨下得很急。	The rain is falling rapidly.	他跑步跑得很急。	His running is very rapid.	马跑得很急。	The horse runs rapidly.
急	jí	verb, adverbial adjective, adjective		urgent	L3	这件事很急，快做！	This matter is urgent, do it quickly!	有急事要做。	There is an urgent matter to handle.	医生说问题很急。	The doctor said the situation is urgent.
几乎	jī hū	adverb		almost	L3	他几乎每天运动。	He almost exercises every day.	我几乎忘了这件事。	I almost forgot about this.	她几乎不吃肉。	She almost never eats meat.
几乎	jī hū	adverb		nearly	L3	他几乎看完了这本书。	He has nearly finished reading this book.	我们几乎到了。	We are nearly there.	她几乎每天都迟到。	She is nearly late every day.
记	jì	verb, morpheme, classifier		to record	L3	请记下这个号码。	Please record this number.	他记了很多笔记。	He recorded a lot of notes.	请把这件事记下来。	Please write this matter down.
记	jì	verb, morpheme, classifier		to remember	L3	你记得我吗？	Do you remember me?	我记不住这个字。	I can't remember this character.	她记得每个学生的名字。	She remembers every student's name.
季	jì	classifier, morpheme, proper noun (person)		season	L3	一年有四季。	There are four seasons in a year.	春天是最好的一季。	Spring is the best season.	这一季很冷。	This season is very cold.
季节	jì jié	noun	个	season	L3	你最喜欢哪个季节？	Which season do you like most?	秋天是我最爱的季节。	Autumn is my favorite season.	一年有四个季节。	There are four seasons in a year.
加	jiā	verb, non-predicate adjective		to add	L3	请加一点水。	Please add a little water.	二加三是五。	Two plus three is five.	他在水里加了糖。	He added sugar to the water.
假期	jià qī	time word		vacation	L3	这个假期你想去哪儿？	Where do you want to go during this vacation?	假期我在家休息了。	During vacation I rested at home.	我们假期去旅游了。	We traveled during our vacation.
坚持	jiān chí	verb		to persevere with	L3	他坚持每天学中文。	He perseveres with studying Chinese every day.	你要坚持学习。	You must persist in studying.	她坚持学了三年。	She persevered with it for three years.
坚持	jiān chí	verb		to persist in	L3	他坚持认为自己是对的。	He persists in thinking that he is right.	她坚持不去。	She persists in not going.	他坚持自己说的。	He persists in what he said.
检查	jiǎn chá	verb, verbal noun	次	to examine	L3	医生检查了他的身体。	The doctor examined his body.	我需要检查一次眼睛。	I need to have my eyes examined once.	她去医院检查了。	She went to the hospital to be examined.
检查	jiǎn chá	verb, verbal noun	次	to inspect	L3	老师检查了我们的作业。	The teacher inspected our homework.	他检查了一次这个房间。	He inspected the room once.	请检查这个房间。	Please inspect this room.
检票	jiǎn piào	verb		to check or validate tickets (at an entry gate)	L3	请在门口检票。	Please have your ticket checked at the entrance.	他在门口检票。	He is checking tickets at the entrance.	请在这里检票。	Please have your ticket checked here.
简单	jiǎn dān	adjective, adverbial adjective		simple	L3	这个问题很简单。	This question is very simple.	这个方法很简单。	This method is very simple.	这个题很简单。	This question is very simple.
见面	jiàn miàn	verb	次	to meet	L3	我们明天见面吧。	Let's meet tomorrow.	他们第一次见面。	It is their first time meeting.	我们见了两次面。	We have met twice.
健康	jiàn kāng	adjective, adjective-noun, adverbial adjective		health	L3	你的健康最重要。	Your health is most important.	多运动对健康好。	Exercising more is good for health.	他的健康很好。	His health is very good.
讲	jiǎng	verb		to speak	L3	老师在讲中文。	The teacher is speaking Chinese.	他讲得很清楚。	He speaks very clearly.	请你慢点讲。	Please speak more slowly.
角	jiǎo	noun, classifier, morpheme		0.1 RMB	L3	这个苹果一角钱。	This apple costs one jiao (0.1 RMB).	找你五角。	Your change is five jiao.	一块零五角。	One yuan and five jiao.
角	jué	noun, morpheme		character	L3	这个表演里有一个坏人的角。	In this performance, there is a villain character.	她喜欢这个角。	She likes this character.	这个角很有意思。	This character is very interesting.
角	jiǎo	noun, classifier, morpheme		corner	L3	那个角很小。	That corner is very small.	他站在那个角里。	He stands in the corner.	房间的角有一把椅子。	There is a chair in the corner of the room.
角	jiǎo	noun, classifier, morpheme		horn	L3	牛有两个角。	A cow has two horns.	那只羊的角很大。	That sheep's horns are very big.	我喜欢看牛的角。	I like looking at cows' horns.
角	jué	noun, morpheme		role	L3	她在表演里是什么角？	What role does she have in the performance?	他的角是老师。	His role is a teacher.	这个角很重要。	This role is very important.
脚	jiǎo	noun	双, 只	foot	L3	我的脚很冷。	My feet are very cold.	他买了鞋，脚好多了。	He bought shoes and his feet feel much better.	她的一只脚很累。	One of her feet is very tired.
接	jiē	verb		to connect	L3	请把这两个接起来。	Please connect these two together.	把手机接上电脑。	Connect the phone to the computer.	这条路接到那条路上。	This road connects to that road.
接	jiē	verb		to meet (a visitor at a location where they’ve arrived)	L3	我去机场接朋友。	I'm going to the airport to meet my friend.	爸爸去学校接我。	Dad went to school to pick me up.	你能去车站接他吗？	Can you go to the station to meet him?
接	jiē	verb		to receive	L3	我接到了一封信。	I received a letter.	他没有接到我的电话。	He didn't receive my phone call.	我接到了老师的信。	I received a letter from the teacher.
街	jiē	noun	条	street	L3	这条街很好看。	This street is very attractive.	学校前面有一条街。	There is a street in front of the school.	我们在街上走了很久。	We walked along the street for a long time.
节	jié	noun, classifier, morpheme, verb		festival	L3	中国有很多节。	China has many festivals.	这个节你去哪儿？	Where are you going during this festival?	你最喜欢哪个节？	Which festival do you like the most?
节	jié	noun, classifier, morpheme, verb		holiday	L3	这个节你有空吗？	Do you have time during this holiday?	过节的时候我想休息。	I want to rest during the holiday.	下个节我们放假。	We'll have a day off on the next holiday.
节	jié	noun, classifier, morpheme, verb		measure word for sections	L3	今天有三节课。	There are three sections of class today.	第一节课是中文。	The first section of class is Chinese.	这节课很有意思。	This section of class is very interesting.
节目	jié mù	noun	台, 个, 套	(TV or radio) program	L3	我喜欢看这个节目。	I like watching this program.	电视上有什么节目？	What programs are on TV?	我们看了两个节目。	We watched two programs.
节日	jié rì	noun	个	festival	L3	过年是中国最重要的节日。	Chinese New Year is the most important festival in China.	这个节日有很长的历史。	This festival has a very long history.	一年有好几个节日。	There are several festivals in a year.
节日	jié rì	noun	个	holiday	L3	今天是什么节日？	What holiday is today?	这个月有两个节日。	There are two holidays this month.	这个节日我们放假。	We have a day off for this holiday.
结婚	jié hūn	verb, verbal noun	次	to marry	L3	他们去年结婚了。	They got married last year.	你想什么时候结婚？	When do you want to get married?	他结过两次婚。	He has been married twice.
结束	jié shù	verb, verbal noun		to conclude	L3	他的话结束了会议。	His words concluded the meeting.	那场晚会结束了。	That evening event concluded.	请你结束你的话。	Please conclude what you are saying.
结束	jié shù	verb, verbal noun		to end	L3	电影结束了。	The movie has ended.	课结束了，我们走吧。	Class has ended, let's go.	比赛什么时候结束？	When does the competition end?
姐妹	jiě mèi	noun		sisters	L3	她们是姐妹。	They are sisters.	我有两个姐妹。	I have two sisters.	她们姐妹关系很好。	The sisters have a very close relationship.
解决	jiě jué	verb, verbal noun		to solve	L3	我们解决了这个问题。	We solved this problem.	这个问题你解决了吗？	Have you solved this problem?	老师帮我们解决了问题。	The teacher helped us solve the problem.
借	jiè	verb, preposition		to borrow	L3	我从学校借了一本书。	I borrowed a book from school.	他借了我的笔。	He borrowed my pen.	你可以借我的伞。	You can borrow my umbrella.
借	jiè	verb, preposition		to lend	L3	我把书借给他了。	I lent the book to him.	你能把笔借给我吗？	Can you lend me your pen?	我把自行车借给了朋友。	I lent my bicycle to a friend.
借	jiè	verb, preposition		to take (an opportunity)	L3	他借这次机会说了自己的话。	He took this opportunity to share what he had to say.	我们借这个节日开心地玩。	Let's take advantage of this festival to have fun.	借这次旅游，我学了很多。	Taking this trip as an opportunity, I learned a lot.
斤	jīn	classifier		catty (weight equal to 0.5 kg)	L3	这些苹果有三斤。	These apples weigh three catties (1.5 kg).	我买了两斤肉。	I bought two catties (1 kg) of meat.	西瓜要多少钱一斤？	How much is the watermelon per catty?
经过	jīng guò	preposition, verb, noun	个	to go through	L3	经过努力，他做到了。	After going through great effort, he succeeded.	经过这件事，我明白了很多。	After going through this experience, I understood a lot.	经过一年的学习，她好多了。	After going through a year of study, she improved a lot.
经过	jīng guò	preposition, verb, noun	个	to pass	L3	我每天经过那个公园。	I pass that park every day.	去学校要经过一条街。	You have to pass a street to get to school.	我们经过了那家店。	We passed by that shop.
经理	jīng lǐ	noun	个, 位, 名	manager	L3	我们公司有两位经理。	Our company has two managers.	他是这家店的经理。	He is the manager of this store.	请问经理在吗？	Excuse me, is the manager in?
久	jiǔ	adjective, morpheme, adverbial adjective		a long time	L3	你们认识多久了？	How long have you known each other?	我在这里等了很久。	I waited here for a long time.	他们很久没见面了。	They haven't seen each other for a long time.
酒	jiǔ	noun	杯, 瓶, 罐, 桶, 缸	liquor	L3	他不喝酒。	He doesn't drink liquor.	桌子上有两瓶酒。	There are two bottles of liquor on the table.	这杯酒是给你的。	This cup of liquor is for you.
旧	jiù	adjective, morpheme		old	L3	这本书很旧了。	This book is very old.	他住在旧房子里。	He lives in an old house.	这是旧的，不是新的。	This one is old, not new.
旧	jiù	adjective, morpheme		worn (with age)	L3	这件衣服穿旧了。	These clothes have worn out with age.	这双鞋太旧了，要换新的。	These shoes are too worn; I need new ones.	那张桌子旧了，不好用。	That table is worn out and hard to use.
句	jù	classifier, morpheme		measure word for sentences, clauses, etc.	L3	他说了一句话。	He said one sentence.	老师让我们写三句句子。	The teacher asked us to write three sentences.	我只记得这句话。	I only remember this one sentence.
句子	jù zi	noun	个	sentence	L3	这个句子太长了。	This sentence is too long.	请写一个句子。	Please write a sentence.	这个句子很简单。	This sentence is very simple.
决定	jué dìng	verb, noun	个, 项	to decide	L3	你决定了吗？	Have you decided?	我决定明天去。	I've decided to go tomorrow.	他做了一个决定。	He made a decision.
卡	kǎ	noun, verb, morpheme	张, 片	(of computers, phones, etc.) to freeze up	L3	我的手机又卡了。	My phone froze up again.	电脑卡了，打不开。	The computer froze and won't open.	玩游戏的时候手机卡了。	My phone froze while playing a game.
卡	kǎ	noun, verb, morpheme	张, 片	card	L3	我有一张银行卡。	I have a bank card.	这张卡是我的。	This card is mine.	你有学生卡吗？	Do you have a student card?
卡	kǎ	noun, verb, morpheme	张, 片	to grip; to clamp	L3	他用手卡住了那个东西。	He clutched that thing with his hand.	把瓶子卡住，不要动。	Clutch the bottle and don't move it.	她把瓶子卡住了。	She clamped the bottle tight.
卡	kǎ	noun, verb, morpheme	张, 片	to get stuck	L3	肉卡在嘴里了。	Meat got stuck in the mouth.	门卡住了，打不开。	The door is stuck and won't open.	球卡在树上了。	The ball got stuck in the tree.
开花	kāi huā	verb		to bloom	L3	春天来了，树开花了。	Spring has come; the trees have bloomed.	那朵花开花了。	That flower has bloomed.	花园里的花都开花了。	All the flowers in the garden have bloomed.
开花	kāi huā	verb		to burst open	L3	那个球开花了。	That ball burst open.	他的鞋开花了。	His shoes burst open.	球被踢开花了。	The ball was kicked until it burst open.
开花	kāi huā	verb		to split open	L3	他的嘴开花了。	His lips split open.	苹果开花了，不能吃了。	The apple split open and can't be eaten anymore.	西瓜开花了，里面都出来了。	The watermelon split open and everything came out.
开会	kāi huì	verb		to attend a meeting	L3	今天我要开会。	I have to attend a meeting today.	经理正在开会。	The manager is currently attending a meeting.	我们下午三点开会。	We have a meeting to attend at 3 p.m.
开机	kāi jī	verb		to turn on a machine	L3	请先开机再用。	Please turn on the machine before using it.	电脑开机需要一点时间。	Turning on the computer takes a little time.	你开机了吗？	Have you turned on the machine?
开心	kāi xīn	adjective, verb, adjective-noun		to feel happy	L3	她今天很开心。	She feels very happy today.	孩子们玩得很开心。	The children feel very happy playing.	我听到这个很开心。	I feel happy hearing this.
开心	kāi xīn	adjective, verb, adjective-noun		to make fun of somebody	L3	你别拿我开心！	Stop making fun of me.	他喜欢拿朋友开心。	He likes to make fun of his friends.	你拿他开心，他不高兴了。	You made fun of him and now he's unhappy.
看来	kàn lai	verb		it appears	L3	看来他不想来了。	It appears he doesn't want to come anymore.	看来今天要下雨。	It appears it's going to rain today.	看来这件事很难。	It appears this matter is very difficult.
可	kě	verb, conjunction, adverb		but; however	L3	他很聪明，可学习不努力。	He is very smart, but he doesn't study hard.	今天天气好，可我很忙。	The weather is nice today, but I'm very busy.	我想去，可没有时间。	I want to go, but I don't have time.
可	kě	verb, conjunction, adverb		used to emphasize speaker's meaning	L3	你可要小心啊！	You really must be careful!	这件事可不容易。	This matter is truly not easy.	他可聪明了。	He is indeed very smart.
可爱	kě ài	adjective		adorable	L3	这只猫真可爱！	This cat is so adorable!	她的女儿非常可爱。	Her daughter is very adorable.	那个小孩儿很可爱。	That little child is very adorable.
可爱	kě ài	adjective		cute	L3	你的猫好可爱啊！	Your cat is so cute!	这只小狗真可爱。	This little dog is really cute.	她笑起来很可爱。	She looks very cute when she smiles.
可是	kě shì	conjunction, adverb, verb		but	L3	我想睡觉，可是很忙。	I want to sleep, but I'm very busy.	他会说中文，可是不会写。	He can speak Chinese, but he can't write it.	今天下雨，可是我没带伞。	It's raining today, but I didn't bring an umbrella.
渴	kě	adjective, verb		thirsty	L3	跑步后我很渴。	I'm very thirsty after running.	你渴吗？喝点水吧。	Are you thirsty? Have some water.	天气太热，我渴了。	The weather is too hot; I'm thirsty.
刻	kè	verb, time classifier		moment	L3	这一刻我很开心。	At this moment I am very happy.	那一刻，他哭了。	At that moment, he cried.	我不会忘记这一刻。	I will never forget this moment.
刻	kè	verb, time classifier		quarter of an hour	L3	现在是三点一刻。	It is now a quarter past three.	我们八点一刻出发。	We set off at a quarter past eight.	差一刻七点，快来。	It's a quarter to seven — hurry up.
刻	kè	verb, time classifier		to carve	L3	他在门上刻字。	He is carving characters into the door.	她在书上刻了字。	She carved characters into a book.	这个字是刻在门上的。	This character was carved into the door.
客人	kè rén	noun	位	guest	L3	今天我们家来了一位客人。	A guest came to our home today.	请客人坐下喝茶。	Please invite the guest to sit down and have tea.	她是我家的客人。	She is a guest at my home.
客人	kè rén	noun	位	visitor	L3	家里来了一位客人。	A visitor came to the house.	请问这位客人是谁？	May I ask who this visitor is?	我们有客人来，快打扫。	We have a visitor coming — let's clean up quickly.
课本	kè běn	noun	本	textbook	L3	我忘带课本了。	I forgot to bring my textbook.	我买了一本课本。	I bought one textbook.	老师让我们打开课本。	The teacher asked us to open our textbooks.
课文	kè wén	noun	篇	text (from a textbook or other learning resource)	L3	请读第三篇课文。	Please read the third text.	这个课文很有意思。	This lesson text is very interesting.	请大家跟我读课文。	Please everyone read the text after me.
空调	kōng tiáo	noun	台	air conditioner	L3	天热，开一下空调吧。	It's hot — let's turn on the air conditioner.	房间里有一台空调。	There is one air conditioner in the room.	空调坏了，太热了。	The air conditioner is broken; it's so hot.
哭	kū	verb		to cry	L3	孩子哭了。	The child cried.	她看电影哭了。	She cried watching the movie.	别哭，没关系的。	Don't cry — it's okay.
哭	kū	verb		to weep	L3	她小声地哭了起来。	She began to weep quietly.	他在房间里哭。	He was weeping in the room.	奶奶哭了，大家都很难过。	Grandma was weeping and everyone felt sad.
